grid_id,lat_grid,lon_grid,osm_feature_count,osm_industrial_count,osm_power_count,osm_manmade_count,osm_min_distance_m
23.8_85.41,23.8,85.41,0,0,0,0,2000.0
23.8_85.42,23.8,85.42,3,2,0,2,1644.2802945270018
23.8_85.45,23.8,85.45,7,4,0,5,1369.340578397192
23.8_85.48,23.8,85.48,1,0,0,1,1431.348780587987
23.8_85.49,23.8,85.49,0,0,0,0,2000.0
23.91_85.26,23.91,85.26,1,0,0,1,1200.308703907321
23.91_85.27,23.91,85.27,1,0,0,1,1314.671053333361
23.91_85.32,23.91,85.32000000000001,4,2,0,3,1158.2196309947014
23.91_85.33,23.91,85.33,9,6,0,6,1479.070662252724
23.91_85.34,23.91,85.34,7,5,0,5,1778.0339977587003
23.91_85.35,23.91,85.35000000000001,4,3,0,3,787.4999385229036
23.91_85.36,23.91,85.36,6,5,0,4,490.01776178538984
23.91_85.37,23.91,85.37,11,8,0,8,1089.9175023583655
23.91_85.4,23.91,85.4,12,8,0,8,410.0772030845389
23.91_85.43,23.91,85.43,0,0,0,0,2000.0
23.91_85.44,23.91,85.44,0,0,0,0,2000.0
23.91_85.45,23.91,85.45,0,0,0,0,2000.0
23.91_85.48,23.91,85.48,0,0,0,0,2000.0
23.92_85.25,23.92,85.25,1,0,0,1,1543.600915608815
23.92_85.26,23.92,85.26,1,0,0,1,438.0832961584568
23.92_85.27,23.92,85.27,1,0,0,1,692.4853559246105
23.92_85.31,23.92,85.31,0,0,0,0,2000.0
23.92_85.32,23.92,85.32000000000001,9,6,0,6,1367.597329961818
23.92_85.33,23.92,85.33,10,7,0,6,389.8911106839475
23.92_85.34,23.92,85.34,13,9,0,8,800.2009807720526
23.92_85.35,23.92,85.35000000000001,8,6,0,5,1169.4251326378132
23.92_85.47,23.92,85.47,0,0,0,0,2000.0
23.93_85.25,23.93,85.25,0,0,0,0,2000.0
23.93_85.26,23.93,85.26,1,0,0,1,1381.7108106815992
23.93_85.27,23.93,85.27,1,0,0,1,1482.1416120436597
23.93_85.32,23.93,85.32000000000001,9,6,0,6,1049.974122604144
23.93_85.34,23.93,85.34,13,9,0,8,435.34328250002505
23.93_85.35,23.93,85.35000000000001,7,5,0,4,497.70784508224045
23.93_85.47,23.93,85.47,0,0,0,0,2000.0
23.93_85.48,23.93,85.48,0,0,0,0,2000.0
23.94_85.26,23.94,85.26,0,0,0,0,2000.0
23.94_85.28,23.94,85.28,0,0,0,0,2000.0
23.94_85.29,23.94,85.29,0,0,0,0,2000.0
23.94_85.3,23.94,85.3,0,0,0,0,2000.0
23.94_85.31,23.94,85.31,0,0,0,0,2000.0
23.94_85.32,23.94,85.32000000000001,3,2,0,2,1814.5439946057768
23.94_85.4,23.94,85.4,0,0,0,0,2000.0
23.94_85.47,23.94,85.47,0,0,0,0,2000.0
23.94_85.48,23.94,85.48,0,0,0,0,2000.0
23.94_85.49,23.94,85.49,0,0,0,0,2000.0
23.95_85.26,23.95,85.26,0,0,0,0,2000.0
23.95_85.27,23.95,85.27,0,0,0,0,2000.0
23.95_85.3,23.95,85.3,1,0,0,1,1542.355785327965
23.95_85.31,23.95,85.31,0,0,0,0,2000.0
23.95_85.42,23.95,85.42,0,0,0,0,2000.0
23.95_85.44,23.95,85.44,0,0,0,0,2000.0
23.95_85.48,23.95,85.48,0,0,0,0,2000.0
23.95_85.49,23.95,85.49,0,0,0,0,2000.0
23.96_85.3,23.96,85.3,36,0,34,2,961.8126166411131
23.96_85.42,23.96,85.42,0,0,0,0,2000.0
23.96_85.48,23.96,85.48,0,0,0,0,2000.0
23.97_85.44,23.97,85.44,0,0,0,0,2000.0
23.97_85.46,23.97,85.46000000000001,0,0,0,0,2000.0
23.99_85.25,23.99,85.25,0,0,0,0,2000.0
23.99_85.29,23.99,85.29,0,0,0,0,2000.0
23.99_85.3,23.99,85.3,0,0,0,0,2000.0
23.99_85.41,23.99,85.41,0,0,0,0,2000.0
23.99_85.49,23.99,85.49,0,0,0,0,2000.0
23.9_85.26,23.9,85.26,0,0,0,0,2000.0
23.9_85.27,23.9,85.27,0,0,0,0,2000.0
23.9_85.28,23.9,85.28,0,0,0,0,2000.0
23.9_85.29,23.9,85.29,3,2,0,2,958.114251422545
23.9_85.34,23.9,85.34,0,0,0,0,2000.0
23.9_85.35,23.9,85.35000000000001,4,3,0,3,1142.7696204519254
23.9_85.36,23.9,85.36,4,3,0,3,640.1966465222953
23.9_85.37,23.9,85.37,3,2,0,2,1402.571781618958
23.9_85.38,23.9,85.38,7,4,0,6,1135.0347605489815
23.9_85.39,23.9,85.39,12,8,0,8,823.3221036343818
23.9_85.41,23.9,85.41,5,4,0,2,770.3932268963805
23.9_85.43,23.9,85.43,0,0,0,0,2000.0
23.9_85.44,23.9,85.44,0,0,0,0,2000.0
23.9_85.45,23.9,85.45,0,0,0,0,2000.0
23.9_85.48,23.9,85.48,0,0,0,0,2000.0
